nos,customer_category,application_no,channel_code,marketing_program_code,gender_desc,marital_code,flag_contactless,rcc_billing,flag_on_us
-425152204,NOR,LF1175517114,B,B,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-764884482,NOR,C22060400183,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-770104557,NOR,SM1300015704,B,G,Female,MAR,NOT CONTACTLESS,SEMARANG,ON US
-1876757439,NOR,LF1165157946,0,0,Female,SIN,CONTACTLESS,JAKARTA 4,ON US
-151882731,NOR,HQ1300022209,0,A,Male,MAR,CONTACTLESS,JAKARTA 5,ON US
-1512836336,BCO,C21062201079,0,0,Male,SIN,CONTACTLESS,JAKARTA 4,ON US
-243850098,BCO,C21100501961,0,0,Male,SIN,CONTACTLESS,JAKARTA 5,ON US
584767652,BCO,MD1100035538,0,E,Female,MAR,CONTACTLESS,JAKARTA 4,ON US
-46497932,NOR,C23101601228,0,0,Female,MAR,CONTACTLESS,JAKARTA 5,ON US
1370840066,NOR,,0,0,Female,SIN,CONTACTLESS,JAKARTA 5,ON US
474528236,VIP,C23080900991,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
-1099386972,BCO,C23011702092,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
607040060,NOR,BD1200013798,M,H,Male,SIN,CONTACTLESS,BANDUNG,ON US
101837059,BCO,LF3140014828,0,Z,Female,MAR,CONTACTLESS,MAKASSAR,ON US
-189144560,CLS,HQ1100041926,F,V,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
629235295,BCO,BD1200007111,L,Z,Male,CNV,NOT CONTACTLESS,BANDUNG,ON US
-826583391,PTR,HQ1300014894,0,E,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-837167165,NOR,C19013101264,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
-513519716,BCO,C22072002731,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
1894665301,BCO,C22080102479,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
1670280290,BCO,C23070400920,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
1879752527,WMG,C22051101901,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1437482594,WMG,C23050201384,0,0,Female,SIN,CONTACTLESS,BALIKPAPAN,ON US
-1771546100,WMG,C23082300546,0,0,Male,MAR,CONTACTLESS,BALIKPAPAN,ON US
1196603055,BCO,C21060200847,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1848324939,BCO,C19092100120,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-826462379,BCO,SB1200020544,B,V,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-2062789826,NOR,HQ1000088355,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
1909774532,FFL,SB1100045547,F,V,Male,CNV,NOT CONTACTLESS,SURABAYA,ON US
1498775797,NOR,HQ0800019769,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-2072787891,BCO,LF1130045469,B,G,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
1602882764,NOR,HQ1200304752,0,V,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
306576606,NOR,SM1300019937,B,G,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
2020133230,NOR,LF1140127475,0,Z,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
321912813,NOR,LF1140522358,B,Z,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-609847474,NOR,LF1140468980,0,Z,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1650757265,NOR,LF1150691547,B,B,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1528649475,NOR,LF1175302891,B,T,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
-122274416,BCO,LF1130187023,0,G,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-1833604163,NOR,BD0900034746,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
1792660108,STF,LF1130167071,B,S,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
-1928539788,FFL,BD1100049365,F,V,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
1223587679,NOR,,0,0,Female,MAR,NOT CONTACTLESS,DENPASAR,ON US
1359045552,BCO,C18121401253,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1645980065,NOR,,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
1454543088,VIP,LF1165705465,B,B,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-281272767,BCO,C19101803144,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1267369042,BCO,C22070900218,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
430265236,BCO,C21101502885,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-159627356,BCO,C21112701036,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1963705314,BCO,C23011600761,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
1625445292,NOR,MK1300008092,B,G,Male,MAR,NOT CONTACTLESS,JAYAPURA,ON US
-270589860,BCO,SB1300009628,B,V,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1843179611,BCO,C19071004995,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
1849345294,BCO,LF1130142329,B,G,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1559557232,BCO,LF1140313363,0,Z,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
-762346867,DEP,LF2140013396,0,Z,Female,MAR,CONTACTLESS,PALEMBANG,ON US
1039266657,NOR,LF3130001091,B,G,Female,MAR,CONTACTLESS,MAKASSAR,ON US
1070940140,BCO,C21062200055,0,0,Male,MAR,CONTACTLESS,SURABAYA,ON US
652785312,COR,C21072100850,0,0,Female,MAR,CONTACTLESS,JAKARTA 5,ON US
777906655,BCO,C22052800141,0,0,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
1032527059,COR,C22062802488,0,0,Male,SIN,NOT CONTACTLESS,SURABAYA,ON US
1391010132,STF,C23030101250,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-1177819826,NOR,C23071501138,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-1482857980,BCO,LF1140578947,B,B,Male,MAR,CONTACTLESS,BANDUNG,ON US
1380795555,NOR,HQ0900246077,0,0,Female,MAR,CONTACTLESS,JAKARTA 4,ON US
1809630112,NOR,HQ0900115303,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
1532693903,BCO,HQ1200138484,0,S,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1711769792,NOR,BP1200016177,F,G,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
474031777,STF,C19072401498,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-884322177,BCO,C21072901364,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-236661502,BCO,C23121202600,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
